full_name,phone_number,timestamp,geolocation,place_name,latitude,longitude,city,hour,drone_id,drone_model,drone_speed_kmh,drone_altitude_m,drone_frequency_mhz,drone_range_m,drone_heading_deg,drone_flight_duration_sec,drone_distance_border_m,operator_id,last_signal_time,signal_loss_duration_sec,phone_blackout_flag
Adam Godfrey Cornell,+52 7552417650,2024-01-14 04:20:30,"26.101365, -98.230817",Garita Hidalgo bridge vicinity,26.101365,-98.230817,Reynosa,4,,,,,,,,,220.0,,,,
Adam Godfrey Cornell,+52 7552417650,2024-10-16 09:58:26,"31.887077, -112.837645",Rest stop Hwy 8 km 2,31.887077,-112.837645,Sonoyta,9,,,,,,,,,2200.0,,,,
Adam Godfrey Cornell,+52 7552417650,2025-06-08 09:07:39,"31.345714, -110.953110",Bodega Almacen Av. Industrial,31.345714,-110.95311,Nogales,9,,,,,,,,,900.0,,,,
Adam Godfrey Cornell,+52 7552417650,2025-11-29 12:21:45,"27.481123, -99.510004",Zona Franca bodega logistica,27.481123,-99.510004,Nuevo Laredo,12,,,,,,,,,1100.0,,,,
Adeline Rogers Nolan,+52 8123103500,2024-09-10 22:01:07,"31.697567, -106.421500",PEMEX Gasolinera Av. Heroico,31.697567,-106.4215,Ciudad Juarez,22,,,,,,,,,1500.0,,,,
Adeline Rogers Nolan,+52 8123103500,2024-12-01 00:13:33,"32.539279, -117.034153",Cruce El Chaparral approach Ote.,32.539279,-117.034153,Tijuana,0,,,,,,,,,300.0,,,,
Adeline Rogers Nolan,+52 8123103500,2025-03-21 08:21:22,"31.412713, -111.060021",Mariposa crossing approach,31.412713,-111.060021,Nogales,8,,,,,,,,,400.0,,,,
Adeline Rogers Nolan,+52 8123103500,2025-08-29 14:15:05,"32.526126, -117.006111",Bodega Logistica Zona Rio,32.526126,-117.006111,Tijuana,14,,,,,,,,,380.0,,,,
Adrian Stockton Marsh,+52 9526077993,2024-01-03 17:50:46,"32.536764, -117.032838",Cruce El Chaparral approach Ote.,32.536764,-117.032838,Tijuana,17,,,,,,,,,,,2024-01-03 17:50:46,227.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-04 23:44:49,"32.501932, -116.998174",Truck stop Blvd. Insurgentes km 3,32.501932,-116.998174,Tijuana,23,,,,,,,,,,,2024-01-04 23:44:49,92.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-04 23:47:01,"32.516682, -117.016757",PEMEX Gasolinera Blvd. Las Palmas,32.516682,-117.016757,Tijuana,23,,,,,,,,,,,2024-01-04 23:47:01,204.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-06 03:07:32,"29.103772, -110.972925",Bodega Industrial Hermosillo Norte,29.103772,-110.972925,Hermosillo,3,,,,,,,,,,,2024-01-06 03:07:32,110.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-11 04:28:02,"29.103074, -110.973701",Bodega Industrial Hermosillo Norte,29.103074,-110.973701,Hermosillo,4,,,,,,,,,,,2024-01-11 04:28:02,262.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-14 00:08:39,"29.101955, -110.973223",Bodega Industrial Hermosillo Norte,29.101955,-110.973223,Hermosillo,0,,,,,,,,,,,2024-01-14 00:08:39,30.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-17 00:26:33,"32.562454, -116.925228",CALIMAX Supermercado Otay,32.562454,-116.925228,Tijuana,0,,,,,,,,,,,2024-01-17 00:26:33,14.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-19 00:56:22,"28.692172, -100.509509",PEMEX Carranza 340,28.692172,-100.509509,Piedras Negras,0,,,,,,,,,,,2024-01-19 00:56:22,63.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-22 23:18:11,"32.501050, -116.994244",Truck stop Blvd. Insurgentes km 3,32.50105,-116.994244,Tijuana,23,,,,,,,,,,,2024-01-22 23:18:11,57.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-24 03:02:50,"32.502888, -116.996418",Truck stop Blvd. Insurgentes km 3,32.502888,-116.996418,Tijuana,3,,,,,,,,,,,2024-01-24 03:02:50,45.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-27 22:12:57,"32.509879, -117.022257",Bodega Refrigerada Av. Internacional,32.509879,-117.022257,Tijuana,22,,,,,,,,,,,2024-01-27 22:12:57,113.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-31 03:38:56,"32.519238, -117.011626",PEMEX Gasolinera Blvd. Las Palmas,32.519238,-117.011626,Tijuana,3,,,,,,,,,,,2024-01-31 03:38:56,282.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-01-31 04:16:43,"32.510372, -117.024988",Bodega Refrigerada Av. Internacional,32.510372,-117.024988,Tijuana,4,,,,,,,,,,,2024-01-31 04:16:43,265.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-02 00:13:05,"31.882122, -112.836704",Rest stop Hwy 8 km 2,31.882122,-112.836704,Sonoyta,0,,,,,,,,,,,2024-02-02 00:13:05,69.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-02 12:08:02,"29.098707, -110.972924",Bodega Industrial Hermosillo Norte,29.098707,-110.972924,Hermosillo,12,,,,,,,,,,,2024-02-02 12:08:02,33.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-02 23:09:20,"32.509111, -117.023185",Bodega Refrigerada Av. Internacional,32.509111,-117.023185,Tijuana,23,,,,,,,,,,,2024-02-02 23:09:20,191.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-06 03:37:08,"32.510334, -117.023203",Bodega Refrigerada Av. Internacional,32.510334,-117.023203,Tijuana,3,,,,,,,,,,,2024-02-06 03:37:08,217.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-09 01:12:18,"29.096512, -110.968880",Bodega Industrial Hermosillo Norte,29.096512,-110.96888,Hermosillo,1,,,,,,,,,,,2024-02-09 01:12:18,239.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-11 22:18:13,"32.515158, -117.012671",PEMEX Gasolinera Blvd. Las Palmas,32.515158,-117.012671,Tijuana,22,,,,,,,,,,,2024-02-11 22:18:13,47.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-11 22:21:14,"32.506283, -116.995341",Truck stop Blvd. Insurgentes km 3,32.506283,-116.995341,Tijuana,22,,,,,,,,,,,2024-02-11 22:21:14,257.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-12 02:23:58,"29.101845, -110.967655",Bodega Industrial Hermosillo Norte,29.101845,-110.967655,Hermosillo,2,,,,,,,,,,,2024-02-12 02:23:58,121.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-02-17 23:19:03,"32.500055, -116.997114",Truck stop Blvd. Insurgentes km 3,32.500055,-116.997114,Tijuana,23,,,,,,,,,,,2024-02-17 23:19:03,204.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-03 04:29:26,"32.520663, -117.018586",PEMEX Gasolinera Blvd. Las Palmas,32.520663,-117.018586,Tijuana,4,,,,,,,,,,,2024-03-03 04:29:26,247.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-07 02:59:26,"29.098795, -110.972893",Bodega Industrial Hermosillo Norte,29.098795,-110.972893,Hermosillo,2,,,,,,,,,,,2024-03-07 02:59:26,142.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-11 00:51:31,"29.101813, -110.968739",Bodega Industrial Hermosillo Norte,29.101813,-110.968739,Hermosillo,0,,,,,,,,,,,2024-03-11 00:51:31,180.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-11 00:53:02,"32.507347, -117.024232",Bodega Refrigerada Av. Internacional,32.507347,-117.024232,Tijuana,0,,,,,,,,,,,2024-03-11 00:53:02,245.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-12 03:08:34,"32.501143, -116.994686",Truck stop Blvd. Insurgentes km 3,32.501143,-116.994686,Tijuana,3,,,,,,,,,,,2024-03-12 03:08:34,69.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-12 04:15:04,"32.506357, -116.995746",Truck stop Blvd. Insurgentes km 3,32.506357,-116.995746,Tijuana,4,,,,,,,,,,,2024-03-12 04:15:04,151.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-15 02:27:09,"24.806467, -107.382844",PEMEX Blvd. Universitarios,24.806467,-107.382844,Culiacan,2,,,,,,,,,,,2024-03-15 02:27:09,128.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-15 23:17:18,"28.692124, -100.506952",PEMEX Carranza 340,28.692124,-100.506952,Piedras Negras,23,,,,,,,,,,,2024-03-15 23:17:18,190.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-16 01:37:38,"32.567416, -116.924197",CALIMAX Supermercado Otay,32.567416,-116.924197,Tijuana,1,,,,,,,,,,,2024-03-16 01:37:38,66.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-17 22:21:07,"32.504194, -116.998782",Truck stop Blvd. Insurgentes km 3,32.504194,-116.998782,Tijuana,22,,,,,,,,,,,2024-03-17 22:21:07,112.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-22 15:40:54,"32.520986, -117.015049",PEMEX Gasolinera Blvd. Las Palmas,32.520986,-117.015049,Tijuana,15,,,,,,,,,,,2024-03-22 15:40:54,62.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-27 16:13:01,"31.883847, -112.842688",Rest stop Hwy 8 km 2,31.883847,-112.842688,Sonoyta,16,,,,,,,,,,,2024-03-27 16:13:01,137.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-03-31 00:39:47,"32.515872, -117.011886",PEMEX Gasolinera Blvd. Las Palmas,32.515872,-117.011886,Tijuana,0,,,,,,,,,,,2024-03-31 00:39:47,214.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-01 22:47:55,"32.499265, -116.994620",Truck stop Blvd. Insurgentes km 3,32.499265,-116.99462,Tijuana,22,,,,,,,,,,,2024-04-01 22:47:55,83.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-02 00:43:32,"32.520363, -117.018887",PEMEX Gasolinera Blvd. Las Palmas,32.520363,-117.018887,Tijuana,0,,,,,,,,,,,2024-04-02 00:43:32,61.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-04 01:10:09,"32.509144, -117.025090",Bodega Refrigerada Av. Internacional,32.509144,-117.02509,Tijuana,1,,,,,,,,,,,2024-04-04 01:10:09,11.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-08 23:08:51,"32.520217, -117.012613",PEMEX Gasolinera Blvd. Las Palmas,32.520217,-117.012613,Tijuana,23,,,,,,,,,,,2024-04-08 23:08:51,191.0,0.0
